Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Custom field (Actual end),Custom field (Actual start),Custom field (Approvals),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Focus Areas),Custom field (Goals),Custom field (Impact),Custom field (Issue color),Custom field (Locked forms),Custom field (Open forms),Custom field (Project overview key),Custom field (Project overview status),Custom field (Rank),Custom field (Request Type),Custom field (Sentiment),Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Parent,Parent key,Parent summary,Status Category,Status Category Changed
8.1 Add Review,ELP-26,10104,Story,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:33 AM,,,,0,"• Rating: 1 to 5 stars
• Comment text field",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-67,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2d4ede22,,,,,,,,,,,,,,,,0|i0008v:,,,ELP Sprint 1,,,3.0,,,,,,,,,10103,ELP-25,MODULE 8 — Reviews & Ratings,To Do,02/Apr/26 8:18 AM
8.2 View Reviews,ELP-27,10105,Story,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:18 AM,02/Apr/26 8:33 AM,,,,0,• Display all user reviews for the course,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5d558aff,,,,,,,,,,,,,,,,0|i00093:,,,ELP Sprint 1,,,2.0,,,,,,,,,10103,ELP-25,MODULE 8 — Reviews & Ratings,To Do,02/Apr/26 8:18 AM
1.1.1 Full Name Field Validation,ELP-28,10106,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:25 AM,02/Apr/26 10:28 AM,,,,0,"• Accepts alphabets and spaces only
• Minimum 3 characters, maximum 50 characters
• Numbers and special characters not allowed
• Cannot be blank
• Inline error for invalid input",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-68,ELP-69,ELP-70,ELP-71,ELP-72,ELP-73,,,,,,,,ELP-2,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@41774814,,,,,,,,,,,,,,,,0|i0009b:,,,ELP Sprint 1,,,2.0,,,,,,,,,10079,ELP-1,MODULE 1 — User Registration,To Do,02/Apr/26 8:25 AM
1.1.2 Email Address Field Validation,ELP-29,10107,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:25 AM,02/Apr/26 10:29 AM,,,,0,"• Must be valid format (e.g. user@mail.com)
• Minimum 5 characters, maximum 50 characters
• Cannot be blank
• Duplicate email → ""Email already registered.""",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-74,ELP-75,ELP-76,ELP-77,ELP-78,,,,,,,,,ELP-2,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4d81067a,,,,,,,,,,,,,,,,0|i0009j:,,,ELP Sprint 1,,,2.0,,,,,,,,,10079,ELP-1,MODULE 1 — User Registration,To Do,02/Apr/26 8:25 AM
1.1.3 Mobile Number Field & OTP Verification,ELP-30,10108,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:25 AM,02/Apr/26 10:29 AM,,,,0,"• Accepts 10-digit numeric values only
• Cannot contain alphabets or special characters
• Cannot be blank
• OTP sent after entering number
• OTP: 6-digit numeric, valid for 5 minutes
• Incorrect OTP → ""Invalid OTP.""",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-79,ELP-80,ELP-81,ELP-82,ELP-83,ELP-84,ELP-85,ELP-86,,,,,,ELP-2,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@66efbfc5,,,,,,,,,,,,,,,,0|i0009r:,,,ELP Sprint 1,,,5.0,,,,,,,,,10079,ELP-1,MODULE 1 — User Registration,To Do,02/Apr/26 8:25 AM
1.1.4 Password Field Validation,ELP-31,10109,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:25 AM,02/Apr/26 10:29 AM,,,,0,"• Minimum 8 characters, maximum 20 characters
• Must include: 1 uppercase, 1 lowercase, 1 number, 1 special character
• Cannot be blank
• Show password strength: Weak / Medium / Strong
• Accept only when Strong",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-87,ELP-88,ELP-89,ELP-90,ELP-91,ELP-92,ELP-93,,,,,,,ELP-2,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5dd68078,,,,,,,,,,,,,,,,0|i0009z:,,,ELP Sprint 1,,,3.0,,,,,,,,,10079,ELP-1,MODULE 1 — User Registration,To Do,02/Apr/26 8:25 AM
1.1.5 Confirm Password Validation,ELP-32,10110,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:25 AM,02/Apr/26 10:30 AM,,,,0,"• Must match Password field
• Cannot be blank
• Mismatch → ""Passwords do not match.""",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-94,ELP-95,ELP-96,,,,,,,,,,,ELP-2,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1f09bac0,,,,,,,,,,,,,,,,0|i000a7:,,,ELP Sprint 1,,,1.0,,,,,,,,,10079,ELP-1,MODULE 1 — User Registration,To Do,02/Apr/26 8:25 AM
1.1.6 Terms & Conditions Checkbox,ELP-33,10111,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:25 AM,02/Apr/26 10:30 AM,,,,0,"• Must be checked to enable Sign Up button
• Contains a clickable link to T&C page",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-97,ELP-98,ELP-99,,,,,,,,,,,ELP-2,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@1367c4c6,,,,,,,,,,,,,,,,0|i000af:,,,ELP Sprint 1,,,1.0,,,,,,,,,10079,ELP-1,MODULE 1 — User Registration,To Do,02/Apr/26 8:25 AM
1.1.7 Sign Up Button Behaviour,ELP-34,10112,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:25 AM,02/Apr/26 10:30 AM,,,,0,"• Enabled only when all inputs are valid and OTP is verified
• Valid → Account created, User ID generated
• Invalid → Inline errors shown per field",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-100,ELP-101,ELP-102,ELP-103,ELP-104,,,,,,,,,ELP-2,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6d30216d,,,,,,,,,,,,,,,,0|i000an:,,,ELP Sprint 1,,,3.0,,,,,,,,,10079,ELP-1,MODULE 1 — User Registration,To Do,02/Apr/26 8:25 AM
2.1.1 Email Field Validation,ELP-35,10113,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:25 AM,02/Apr/26 10:30 AM,,,,0,"• Same format validation as registration
• Not registered → ""Email not found.""",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-105,ELP-106,ELP-107,ELP-108,,,,,,,,,,ELP-5,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@266982e9,,,,,,,,,,,,,,,,0|i000av:,,,ELP Sprint 1,,,2.0,,,,,,,,,10082,ELP-4,MODULE 2 — User Login,To Do,02/Apr/26 8:25 AM
2.1.2 Mobile Number Field Validation,ELP-36,10114,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:25 AM,02/Apr/26 10:31 AM,,,,0,"• 10-digit numeric only
• Cannot be blank
• Not registered → ""Number not found.""",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-109,ELP-110,ELP-111,ELP-112,,,,,,,,,,ELP-5,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6279f5d6,,,,,,,,,,,,,,,,0|i000b3:,,,ELP Sprint 1,,,2.0,,,,,,,,,10082,ELP-4,MODULE 2 — User Login,To Do,02/Apr/26 8:25 AM
2.1.3 Password Field Validation,ELP-37,10115,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:25 AM,02/Apr/26 10:31 AM,,,,0,"• Cannot be blank
• Incorrect password → ""Incorrect password.""",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-113,ELP-114,ELP-115,,,,,,,,,,,ELP-5,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@37b320dc,,,,,,,,,,,,,,,,0|i000bb:,,,ELP Sprint 1,,,2.0,,,,,,,,,10082,ELP-4,MODULE 2 — User Login,To Do,02/Apr/26 8:25 AM
2.1.4 Login Button Behaviour,ELP-38,10116,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:25 AM,02/Apr/26 10:31 AM,,,,0,"• Enabled only when valid inputs are provided
• On click → logs in user
• Invalid → inline errors shown",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-116,ELP-117,ELP-118,ELP-119,,,,,,,,,,ELP-5,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@5b64440e,,,,,,,,,,,,,,,,0|i000bj:,,,ELP Sprint 1,,,2.0,,,,,,,,,10082,ELP-4,MODULE 2 — User Login,To Do,02/Apr/26 8:25 AM
2.1.5 Forgot Password Flow,ELP-39,10117,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:26 AM,02/Apr/26 10:31 AM,,,,0,"• Sends reset link or OTP to registered email/mobile
• Requires registered email or mobile to proceed",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-120,ELP-121,ELP-122,ELP-123,ELP-124,,,,,,,,,ELP-5,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@22b3a2ee,,,,,,,,,,,,,,,,0|i000br:,,,ELP Sprint 1,,,3.0,,,,,,,,,10082,ELP-4,MODULE 2 — User Login,To Do,02/Apr/26 8:26 AM
3.2.1 Search Bar,ELP-40,10118,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:26 AM,02/Apr/26 10:32 AM,,,,0,"• Placeholder: ""Search courses, topics…""
• Minimum 2 characters required
• Auto-suggestions appear while typing
• No results → ""No courses found.""",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-125,ELP-126,ELP-127,ELP-128,ELP-129,,,,,,,,,ELP-8,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@44406cbd,,,,,,,,,,,,,,,,0|i000bz:,,,ELP Sprint 1,,,3.0,,,,,,,,,10084,ELP-6,MODULE 3 — Dashboard / Home Page,To Do,02/Apr/26 8:26 AM
3.2.2 User Profile Icon & Dropdown,ELP-41,10119,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:26 AM,02/Apr/26 10:32 AM,,,,0,"• Dropdown options: My Profile, My Courses, Logout",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-130,ELP-131,ELP-132,ELP-133,,,,,,,,,,ELP-8,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@2022197d,,,,,,,,,,,,,,,,0|i000c7:,,,ELP Sprint 1,,,2.0,,,,,,,,,10084,ELP-6,MODULE 3 — Dashboard / Home Page,To Do,02/Apr/26 8:26 AM
3.2.2.1 Edit Profile,ELP-42,10120,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:26 AM,02/Apr/26 10:33 AM,,,,0,"• Full Name: same validation as registration
• Email: valid format, duplicate check
• Mobile Number: OTP verification required on change",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-134,ELP-135,ELP-136,ELP-137,ELP-138,,,,,,,,,ELP-9,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@13e66c48,,,,,,,,,,,,,,,,0|i000cf:,,,ELP Sprint 1,,,3.0,,,,,,,,,10084,ELP-6,MODULE 3 — Dashboard / Home Page,To Do,02/Apr/26 8:26 AM
3.2.2.2 Change Password,ELP-43,10121,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:26 AM,02/Apr/26 10:33 AM,,,,0,"• Current Password: required, inline error if incorrect
• New Password: same rules as registration, cannot match old password
• Confirm Password: must match new password
• Update Button: shows success message on valid update",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-139,ELP-140,ELP-141,ELP-142,ELP-143,,,,,,,,,ELP-9,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@3d7d0b28,,,,,,,,,,,,,,,,0|i000cn:,,,ELP Sprint 1,,,3.0,,,,,,,,,10084,ELP-6,MODULE 3 — Dashboard / Home Page,To Do,02/Apr/26 8:26 AM
4.2.a Course Thumbnail,ELP-44,10122,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:26 AM,02/Apr/26 10:34 AM,,,,0,"• Accepts JPG/PNG formats
• Default image displayed if thumbnail not available",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-144,ELP-145,ELP-146,,,,,,,,,,,ELP-12,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@37d3b4c2,,,,,,,,,,,,,,,,0|i000cv:,,,ELP Sprint 1,,,2.0,,,,,,,,,10088,ELP-10,MODULE 4 — Course Listing Page,To Do,02/Apr/26 8:26 AM
4.2.b Course Title,ELP-45,10123,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:26 AM,02/Apr/26 10:34 AM,,,,0,"• Maximum 100 characters
• Cannot be blank",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-147,ELP-148,ELP-149,,,,,,,,,,,ELP-12,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@59fed380,,,,,,,,,,,,,,,,0|i000d3:,,,ELP Sprint 1,,,1.0,,,,,,,,,10088,ELP-10,MODULE 4 — Course Listing Page,To Do,02/Apr/26 8:26 AM
4.2.c Instructor Name Display,ELP-46,10124,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:26 AM,02/Apr/26 10:34 AM,,,,0,• Display trainer/instructor name on course card,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-150,ELP-151,,,,,,,,,,,,ELP-12,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@32b1dd89,,,,,,,,,,,,,,,,0|i000db:,,,ELP Sprint 1,,,1.0,,,,,,,,,10088,ELP-10,MODULE 4 — Course Listing Page,To Do,02/Apr/26 8:26 AM
4.2.d Price Display,ELP-47,10125,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:26 AM,02/Apr/26 10:34 AM,,,,0,"• Displayed in ₹ (Rupee) format
• If discounted: show original price with strikethrough
• Show discounted price clearly",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-152,ELP-153,ELP-154,,,,,,,,,,,ELP-12,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@70aacaf,,,,,,,,,,,,,,,,0|i000dj:,,,ELP Sprint 1,,,2.0,,,,,,,,,10088,ELP-10,MODULE 4 — Course Listing Page,To Do,02/Apr/26 8:26 AM
4.2.e Rating Display,ELP-48,10126,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:26 AM,02/Apr/26 10:34 AM,,,,0,"• Rating range: 1 to 5
• Display star icons based on rating value",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-155,ELP-156,ELP-157,,,,,,,,,,,ELP-12,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@659f00a3,,,,,,,,,,,,,,,,0|i000dr:,,,ELP Sprint 1,,,2.0,,,,,,,,,10088,ELP-10,MODULE 4 — Course Listing Page,To Do,02/Apr/26 8:26 AM
4.2.f Enroll Button,ELP-49,10127,Task,To Do,ELP,E-Learning Platform,software,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,E-Learning Platform — Full QA Test Coverage,Medium,,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,02/Apr/26 8:26 AM,02/Apr/26 10:34 AM,,,,0,"• On click: adds course to user's dashboard
• Shows success message on enrolment",,Ujjwal Kumar,712020:198b1a16-60d8-4aec-822c-6007c7a2cf71,,,,,,,,,ELP-158,ELP-159,ELP-160,ELP-161,,,,,,,,,,ELP-12,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@37a2a76b,,,,,,,,,,,,,,,,0|i000dz:,,,ELP Sprint 1,,,3.0,,,,,,,,,10088,ELP-10,MODULE 4 — Course Listing Page,To Do,02/Apr/26 8:26 AM
